listing_id,title,category,price,location,url,initial_scraped_date,description,Overdracht_Huurprijs,Overdracht_Servicekosten,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Indeling_Aantal_bouwlagen,Energie_Energielabel,Overdracht_Vraagprijs,Bouw_Bouwperiode,Oppervlakten_Perceel,Indeling_Voorzieningen,Omgeving_Ligging,Overdracht_Oorspronkelijke_huurprijs,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Kantoor_oppervlak,Omgeving_Bereikbaarheid,Parkeergelegenheid_Parkeerplaatsen,Parkeergelegenheid_Parkeerkosten,Bouw_Mogelijke_functie(s),Oppervlakten_Verkoopvloeroppervlakte,Omgeving_Bijdrage_winkeliersvereniging,Omgeving_Welstandsklasse,Oppervlakten_Breedte_gevel,Oppervlakten_Draagvermogen,Overdracht_Oorspronkelijke_vraagprijs,Beleggingsobject_Bruto_huuropbrengst,Beleggingsobject_Huurders,Beleggingsobject_Verhuurd
43802817,Stationsplein 3-A,Kantoor,Prijs op aanvraag,5241 GN Rosmalen,https://www.fundainbusiness.nl/kantoor/rosmalen/object-43802817-stationsplein-3-a/?navigateSource=resultlist,2025-06-11 12:04:05,Locatie Het te  koop  aangeboden kantoorobject  is gelegen  in het centrum van  Rosmalen  en grenst aan een groot  parkeerterrein bij het station  van Rosmalen.  De omgeving  kenmerkt zich  met name  door  woningen. De bereikbaarheid met eigen en openbaar vervoer is goed. De op- en afritten naar en van de A59 zijn op vijf minuten rijden gesitueerd en het treinstation is op 1 minuutloopafstand gelegen. Het aantal parkeerplaatsen in de directe omgeving is zeer uitgebreid. Deze centrum locatie is  …,,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1986,1.768 m²,2 bouwlagen,A,Prijs op aanvraag,,2.292 m²,"Airconditioning, mechanische ventilatie, inbouwarmaturen, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",In woonwijk en stationslocatie,,,,"Bushalte op minder dan 500 m, NS Intercitystation op minder dan 500 m en snelwegafrit op 1500 m tot 2000 m",,,,,,,,,,,,
43807692,"Vliertwijksestraat 47, Rosmalen",,,,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43807692-vliertwijksestraat-47/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43895306,"Vliertwijksestraat 42, Rosmalen",,,,https://www.fundainbusiness.nl/kantoor/rosmalen/object-43895306-vliertwijksestraat-42/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43857997,"Friezenstraat 12-L, Rosmalen",,,,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43857997-friezenstraat-12-l/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43740263,De Driesprong 29,Winkel,Huurprijs op aanvraag,5241 TJ Rosmalen,https://www.fundainbusiness.nl/winkel/rosmalen/object-43740263-de-driesprong-29/?navigateSource=resultlist,2025-06-11 12:04:10,"Nette winkelruimte, gelegen  in  hartje centrum  Rosmalen, nabij  ruime parkeergelegenheid, vele winkels  en  horeca gelegenheden en een Jumbo  supermarkt.  De  winkelruimte is met eigen  en  openbaar  vervoer zeer goed bereikbaar en  heeft een oppervlakte van ca. 113 m², zie de bijlage voor de plattegrondtekening.  De ruimte wordt in de huidige staat, in overleg met de huidige huurder opgeleverd en heeft een front van ca. 4 meter. De huurprijs is op aanvraag. De huurtermijn is 5 plus 5 jaar, w …",Huurprijs op aanvraag,,Log in om te bekijken,Beschikbaar,In overleg,Winkel,Bestaande bouw,1984,113 m² (in units vanaf 1 m²),1 bouwlaag,Niet beschikbaar,,,,,,,,,,,,,113 m²,Nee,A1,4 m,,,,,
89103110,"Amsteleindstraat 27-C, Oss",,,,https://www.fundainbusiness.nl/bedrijfshal/oss/object-89103110-amsteleindstraat-27-c/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43711134,"Kievitsven 34, Rosmalen",,,,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43711134-kievitsven-34/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43755479,"Vinkelsestraat 82-B, Vinkel (Gem. Den Bosch)",,,,https://www.fundainbusiness.nl/bedrijfshal/vinkel-gem-den-bosch/object-43755479-vinkelsestraat-82-b/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43489655,Molenhoekpassage 19,Winkel,€ 250 /m²/jaar,5242 CZ Rosmalen,https://www.fundainbusiness.nl/winkel/rosmalen/object-43489655-molenhoekpassage-19/?navigateSource=resultlist,2025-06-11 12:04:13,"Deze winkelunit is  gelegen  in winkelcentrum  “Molenhoek” te  Rosmalen. Een winkelcentrum waar  de  inwoners van Rosmalen dagelijks hun  boodschappen  kunnen  doen. De aanwezige (grote)  locatie  van  Albert Heyn is hier echt  de grote trekker ! Verder vele dagwinkels aanwezig, een goede viswinkel, groente en fruit winkel, een fijne bakker, etc. Maar ook een filiaal van Eye-Wish, The Read Shop, DA Drogist, en vele anderen. Verder kenmerkt dit winkelcentrum door de aanwezigheid van vele parkeer …",€ 250 per vierkante meter per jaar,,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Winkel,Bestaande bouw,1975,76 m² (in units vanaf 1 m²),1 bouwlaag,Niet beschikbaar,,,,,,,,,,,,,76 m²,Nee,A1,5 m,,,,,
43489640,Molenhoekpassage 15,Winkel,€ 295 /m²/jaar,5242 CZ Rosmalen,https://www.fundainbusiness.nl/winkel/rosmalen/object-43489640-molenhoekpassage-15/?navigateSource=resultlist,2025-06-11 12:04:29,"Deze winkelunit is  gelegen  in winkelcentrum  “Molenhoek” te  Rosmalen. Een winkelcentrum waar  de  inwoners van Rosmalen dagelijks hun  boodschappen  kunnen  doen. De aanwezige (grote)  locatie  van  Albert Heyn is hier echt  de grote trekker ! Verder vele dagwinkels aanwezig, een goede viswinkel, groente en fruit winkel, een fijne bakker, etc. Maar ook een filiaal van Eye-Wish, The Read Shop, DA Drogist, en vele anderen. Verder kenmerkt dit winkelcentrum door de aanwezigheid van vele parkeer …",€ 295 per vierkante meter per jaar,,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Winkel,Bestaande bouw,1975,31 m² (in units vanaf 1 m²),1 bouwlaag,Niet verplicht,,,,,,,,,,,,,31 m²,Nee,A1,7 m,,,,,
43463859,Middelste Groes 29-b,Bedrijfshal|Kantoor,€ 1.250 /mnd,5384 VV Heesch,https://www.fundainbusiness.nl/bedrijfshal/heesch/object-43463859-middelste-groes-29-b/?navigateSource=resultlist,2025-06-11 12:04:33,"Zelfstandige bedrijfsunit te  huur,  gelegen aan  de Middelste  Groes te heesch, industrieterrein  Cereslaan  / HeeschWest. Een strategisch goede locatie vanwege de  goede bereikbaarheid vanaf  de A59/A50 richting Den  Bosch/ Oss/  Uden/  Nijmegen,  en diverse uitvalswegen naar de verschillende omliggende dorpskernen.  De unit is ontwikkeld speciaal naar de wensen van het moderne midden- en kleinbedrijf. De ruimtes kennen een flexibele indeling, hebben een moderne en eigentijdse luxe uitstralin …",€ 1.250 per maand,,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Bedrijfshal,Bestaande bouw,2019,90 m²,2 bouwlagen,Niet verplicht,,,,"Airconditioning, overheaddeuren, betonvloer, toilet en pantry",Bedrijventerrein,,45 m²,45 m²,,2 niet-overdekte parkeerplaatsen,,Kantoorruimte,,,,,500 kg/m²,,,,
42321167,"Industriestraat 14, Nuland",,,,https://www.fundainbusiness.nl/kantoor/nuland/object-42321167-industriestraat-14/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89084130,Dorpsstraat 22-B,Belegging,€ 1.095.000 k.k.,5241 EC Rosmalen,https://www.fundainbusiness.nl/belegging/rosmalen/object-89084130-dorpsstraat-22-b/?navigateSource=resultlist,2025-06-11 12:04:36,"Gelegen in de  kern  van Rosmalen,  bieden wij  een verhuurde winkelruimte en  woonruimte  gevestigd aan de Dorpsstraat 22B + 24 aan.  De winkelruimte is  in totaal circa 459,90  m² groot  en  verdeeld  over de begane grond en eerste verdieping. De woning is circa 60 m² groot.   De winkelruimte is verhuurd aan de landelijke fashionketen Shoeby sinds juni 2007. De huidige huursom is € 87.496,68 exclusief btw per jaar en de ruimte is casco verhuurd. De expiratiedatum betreft 31 mei 2027. De woonr …",,,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Belegging,Bestaande bouw,1990,530 m²,,Niet beschikbaar,€ 1.095.000 kosten koper,,270 m²,,,,,,,,,,,,,,,€ 1.175.000 kosten koper,€ 87.497 per jaar,2 huurders,530 m²
