listing_id,title,price,area,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Aangeboden sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Oppervlakten_Totale oppervlakte,Oppervlakten_Type land,Oppervlakten_Veldkavels,Oppervlakten_Grondsoort,kadastrale_code,eigendomssituatie,Oppervlakten_Grond lengte,Oppervlakten_Grond breedte,Oppervlakten_Huiskavels,Bouw_Mogelijke functie(s)
,Provincialeweg,Prijs op aanvraag,,4031 JM Ingen,https://www.fundainbusiness.nl/agrarische-grond/ingen/object-42043718-provincialeweg/?navigateSource=resultlist,2025-06-04 16:40:24,"• Mooi PERCEEL  AGRARISCHE  CULTUURGROND •  In gebruik  als boomgaard, opstand peren  (Beurré  Alexander Lucas en Conference) • Perceeloppervlakte 1.53.40 ha  • Het perceel  heeft  een goede ontsluiting  en bereikbaarheid •  Het perceel is voorzien van beregening met sproeiers • Rondom het perceel zijn sloten aanwezig   Bijzonderheden: Mooi perceel agrarische cultuurgrond; In gebruik als boomgaard, opstand peren (Beurré Alexander Lucas en Conference); Het perceel heeft een goede ontsluiting en  …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,,INGEN F 319,1 ha 53 a 40 ca (geheel perceel),,,,
,Bovenkerkseweg 49,Verkoop bij inschrijving,,2821 XT Stolwijk,https://www.fundainbusiness.nl/agrarische-grond/stolwijk/object-43949458-bovenkerkseweg-49/?navigateSource=resultlist,2025-06-04 16:40:29,"Te koop bij  inschrijving   17,1  ha landbouwgrond  in Stolwijk, verdeeld in  10,9  ha grond aan de  Bovenkerkseweg  (eigendom)  en 6,2 ha aan de  Bilwijkerweg (in  erfpacht  van  ASR)   Betreft  Veengrond   Uitgebreide informatie in brochure.",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,17 ha 12 a 99 ca,Grasland,17 ha 12 a 99 ca,,STOLWIJK C 287-STOLWIJK C 288-STOLWIJK C 289-STOLWIJK C 290-STOLWIJK C 291-STOLWIJK C 292-STOLWIJK C 293-STOLWIJK C 294-STOLWIJK C 306-STOLWIJK C 307-STOLWIJK C 308-STOLWIJK C 309-STOLWIJK C 310-STOLWIJK C 311-STOLWIJK C 312-STOLWIJK C 313-STOLWIJK C 314-STOLWIJK C 315-STOLWIJK C 316-STOLWIJK C 317-STOLWIJK C 318-STOLWIJK C 320-STOLWIJK C 321-STOLWIJK C 324-STOLWIJK C 325-STOLWIJK C 328-STOLWIJK C 1657-STOLWIJK C 1660-STOLWIJK C 1661-STOLWIJK C 1663-STOLWIJK C 1664-STOLWIJK C 1674-STOLWIJK C 1675-STOLWIJK C 1952-STOLWIJK C 327-STOLWIJK A 2817-STOLWIJK A 2820-STOLWIJK A 2901,0 ha 20 a 20 ca (geheel perceel)-0 ha 3 a 70 ca (geheel perceel)-0 ha 11 a 70 ca (geheel perceel)-0 ha 8 a 40 ca (geheel perceel)-0 ha 8 a 70 ca (geheel perceel)-0 ha 96 a 60 ca (geheel perceel)-0 ha 27 a 10 ca (geheel perceel)-0 ha 3 a 90 ca (geheel perceel)-1 ha 63 a 60 ca (geheel perceel)-0 ha 7 a 90 ca (geheel perceel)-0 ha 4 a 40 ca (geheel perceel)-0 ha 11 a 0 ca (geheel perceel)-1 ha 67 a 20 ca (geheel perceel)-0 ha 4 a 30 ca (geheel perceel)-1 ha 51 a 50 ca (geheel perceel)-0 ha 7 a 60 ca (geheel perceel)-0 ha 6 a 80 ca (geheel perceel)-0 ha 6 a 30 ca (geheel perceel)-0 ha 1 a 90 ca (geheel perceel)-0 ha 9 a 70 ca (geheel perceel)-0 ha 4 a 90 ca (geheel perceel)-0 ha 12 a 70 ca (geheel perceel)-0 ha 8 a 20 ca (geheel perceel)-0 ha 11 a 30 ca (geheel perceel)-1 ha 35 a 0 ca (geheel perceel)-1 ha 51 a 60 ca (geheel perceel)-0 ha 11 a 20 ca (geheel perceel)-0 ha 0 a 90 ca (geheel perceel)-0 ha 3 a 0 ca (geheel perceel)-0 ha 3 a 10 ca (geheel perceel)-0 ha 4 a 40 ca (geheel perceel)-0 ha 4 a 35 ca (geheel perceel)-0 ha 3 a 35 ca (geheel perceel)-0 ha 5 a 70 ca (geheel perceel)-0 ha 9 a 60 ca (geheel perceel)-2 ha 63 a 29 ca (geheel perceel)-1 ha 72 a 90 ca (geheel perceel)-1 ha 85 a 0 ca (geheel perceel),,,,
,Besselaar,Prijs op aanvraag,,5294 NH Gemonde,https://www.fundainbusiness.nl/agrarische-grond/gemonde/object-89399020-besselaar/?navigateSource=resultlist,2025-06-04 16:40:32,"TE KOOP BIJ  INSCHRIJVING:  Een perceel  landbouwgrond met  stalling, ter grootte van  00.52.70  ha. Inschrijven is mogelijk t/m vrijdag 4 juli  2025 tot 12.00  uur.   Omschrijving Perceel  landbouwgrond met paardenstalling  op een perceeloppervlakte van 00.52.70 hectare, staande en gelegen te GEMONDE, in de gemeente SINT-MICHIELSGESTEL, aan de Besselaar (naast huisnummer 4).   Kadastrale gegevens Gemeente SINT-MICHIELSGESTEL, sectie O, nummer 578, ter grootte van 	00.52.70 ha  Aantekening kada …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,,Losse grond,,Grasland,,Zand,SINT-MICHIELSGESTEL O 578,0 ha 52 a 70 ca (geheel perceel),,,,
,Peerweg,Verkoop bij inschrijving,,3785 KL Zwartebroek,https://www.fundainbusiness.nl/agrarische-grond/zwartebroek/object-43987661-peerweg/?navigateSource=resultlist,2025-06-04 16:40:37,"Namens onze opdrachtgever  mogen  wij u  aanbieden een  PERCEEL CULTUURGROND. De grond  wordt  aangeboden middels een (besloten)  vrijwillige  verkoop  bij inschrijving. De voorwaarden en  condities die  voor  deze  inschrijving  gelden leest  u  terug in de brochure.  Het biedingsformulier, welke te verkrijgen is via ons kantoor, is in te leveren t/m maandag 26 mei 2025 tot 17.00 uur bij Midden Nederland Makelaars Barneveld, Kampstraat 32 te Barneveld of per e-mail:  (met ontvangstbevestiging  …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,3 ha 21 a 90 ca,Bouwland,3 ha 21 a 90 ca,,VOORTHUIZEN B 98-VOORTHUIZEN B 99,2 ha 4 a 70 ca (geheel perceel)-1 ha 17 a 20 ca (geheel perceel),,,,
,Lange Bunderpad,€ 101.250 k.k.,,4823 Breda,https://www.fundainbusiness.nl/agrarische-grond/breda/object-89332865-lange-bunderpad/?navigateSource=resultlist,2025-06-04 16:40:43,Namens opdrachtgever TE  KOOP  aangeboden:   Perceel prima  landbouwgrond ter grootte van  ca  0.67.50 ha  Perceel goede landbouwgrond gelegen aan  de Lange Bunderpad  ong.  te Breda   A.	Omschrijving ALGEMEEN   De grond is gelegen aan de Bredestraat ong. te Huijbergen. Het perceel is in gebruik als agrarische grond. Het perceel is ontsloten middels een openbare weg.  GEBRUIK   Op dit moment zijn de gronden in gebruik bij een agrariër. De grond wordt vrij van gebruik geleverd. Er is geen bebouw …,€ 101.250 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,Klei,BREDA K 1000,0 ha 32 a 50 ca (deelperceel),,,,
,Biestsestraat,Verkoop bij inschrijving,,5084 HT Biest-Houtakker,https://www.fundainbusiness.nl/agrarische-grond/biest-houtakker/object-43977874-biestsestraat/?navigateSource=resultlist,2025-06-04 16:40:50,"VERKOOP BIJ INSCHRIJVING:  EEN  PERCEEL LANDBOUWGROND  Een perceel  landbouwgrond gelegen aan de  Biestsestraat  te Biest-Houtakker, met een  oppervlakte  van  ca. 4.30.40 ha. Het perceel  is bereikbaar  via  een  openbare,  verharde weg.  Het  perceel is vrij gelegen en niet voorzien van drainage. Er is geen beregeningsput of vergunning aanwezig.  Teeltplan In gebruik als grasland.  Ontwatering De ontwatering vindt plaats middels omliggende sloten en twee sloten die zich op het perceel bevinde …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,,Losse grond,4 ha 30 a 40 ca,Grasland,,,HILVARENBEEK M 581-HILVARENBEEK M 582-OISTERWIJK L 1245,2 ha 3 a 25 ca (deelperceel)-0 ha 72 a 35 ca (geheel perceel)-1 ha 54 a 80 ca (geheel perceel),,,4 ha 30 a 40 ca,
,Zwartakkers/Rond Deel,Verkoop bij inschrijving,,5531 PB Bladel,https://www.fundainbusiness.nl/agrarische-grond/bladel/object-43960714-zwartakkers-rond-deel/?navigateSource=resultlist,2025-06-04 16:41:05,"Twee percelen landbouwgrond  gelegen  aan Zwartakkers  (36.660 m²)  en Rond Deel (93.060  m²)  te Bladel. De percelen zijn rechthoekig en via  een openbare, verharde  weg  te bereiken. Aan  de zuid- en  noordzijde grenst het perceel tot aan de perceelgrens met het buurperceel en aan de west- en oostzijde grenst het perceel tot een gemeentelijke waterloop. De percelen zijn niet voorzien van drainage. Er is eventueel een beregeningsput ter overname (zie inschrijfformulier).   Teeltplan Het teeltp …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,12 ha 97 a 20 ca,Bouwland,,Zand,BLADEL H 355-BLADEL H 356,3 ha 66 a 60 ca (geheel perceel)-9 ha 30 a 60 ca (geheel perceel),,,12 ha 97 a 20 ca,
,Heide 5,€ 478.500 k.k.,,5981 NX Panningen,https://www.fundainbusiness.nl/agrarische-grond/panningen/object-89316925-heide-5/?navigateSource=resultlist,2025-06-04 16:41:08,"landbouwgrond te koop  in  Panningen;  Mooi perceel  landbouwgrond te Beringe groot  4,35  HA zichtlocatie Sectie Helden H nr 116 en  117 Gelegen Noorderbaan  /  Heide nabij camping  Beringerzand Vlak perceel  goed bereikbaar en van goede kwaliteit Geregistreerde beregeningsput is aanwezig Perceel met Agrarische bestemming Geschikt voor diverse doeleinden Aanvaarding in overleg Verkoop bij inschrijving",€ 478.500 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,Zand,PEEL EN MAAS S-PEEL EN MAAS S 116,2 ha 79 a 23 ca (geheel perceel)-1 ha 54 a 31 ca (geheel perceel),,,,
,Vliertseweg,Verkoop bij inschrijving,,5334 Velddriel,https://www.fundainbusiness.nl/agrarische-grond/velddriel/object-89250354-vliertseweg/?navigateSource=resultlist,2025-06-04 16:41:13,"VERKOOP BIJ INSCHRIJVING    Algemeen							 De  onderhavige verkoop  per inschrijving betreft een  kadastraal  perceel landbouwgrond. De betreffende grond  gelegen ten noordwesten van  Velddriel. De  betreffende perceel is  ontsloten op de openbare  verharde weg, plaatselijk bekend als Vliertseweg te Velddriel. Het geheel is door de jaren heen in gebruik geweest als (blijvend) grasland.   Kadastrale gegevens Kadastrale gemeente Maasdriel, sectie M, nummer 26 groot 1.55.40 ha./  15.540 m².  Heri …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,,Losse grond,1 ha 54 a 20 ca,Grasland,1 ha 54 a 20 ca,Klei,MAASDRIEL M 26,1 ha 54 a 20 ca (geheel perceel),367 meter,42 meter,,
,de Heiberg,Prijs op aanvraag,,4721 SJ Schijf,https://www.fundainbusiness.nl/agrarische-grond/schijf/object-89055581-de-heiberg/?navigateSource=resultlist,2025-06-04 16:41:16,"Perceel cultuurgrond nabij  de  Heiberg te  Schijf totaal  groot ca. 01.53.50 ha    Situering Het perceel van totaal 01.53.50 ha groot  is gelegen nabij  de  Heiberg te Schijf.   Kadastrale gegevens  Het geheel is als volgt kadastraal bekend:   Kadastrale gemeente    Sectie     Nummer     Groot     Eenheid       Plaatselijk bekend  Rucphen                               K            639         01.53.50       Ha            Nabij de Heiberg, Schijf                                                  …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,Zand,RUCPHEN K 639,1 ha 53 a 50 ca (deelperceel),,,,
