listing_id,title,price,area,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Aangeboden sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Oppervlakten_Totale oppervlakte,Oppervlakten_Type land,Oppervlakten_Veldkavels,kadastrale_code,eigendomssituatie,Oppervlakten_Grondsoort,Oppervlakten_Grond lengte,Oppervlakten_Grond breedte,Oppervlakten_Huiskavels,Bouw_Mogelijke functie(s)
,Koffiestraat,€ 190.000 k.k.,,5473 RP Heeswijk-Dinther,https://www.fundainbusiness.nl/agrarische-grond/heeswijk-dinther/object-43930400-koffiestraat/?navigateSource=resultlist,2025-06-05 12:19:30,"Te midden van  het  weidse landschap,  ver weg  van de drukte van  alledag,  ligt dit bijzondere stukje grond: DE KLOTBEEK, een  waar paradijs voor  natuurliefhebbers, rustzoekers en buitenmensen.  Dit uitgestrekte  terrein  bestaat  uit een gevarieerd landschap van natuur-, bos- en landbouwgrond, met als absolute blikvanger een grote, natuurlijke visvijver die een oase van rust vormt voor mens én dier.  De Klotbeek is een ven gelegen in de gemeente Bernheze, in het buitengebied van de dorpsker …",€ 190.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bosperceel,,HEESWIJK-DINTHER E 589-HEESWIJK-DINTHER E 610,2 ha 93 a 60 ca (geheel perceel)-0 ha 11 a 50 ca (geheel perceel),Zand,,,,
,Landweerstraat,Prijs op aanvraag,,6082 AG Buggenum,https://www.fundainbusiness.nl/agrarische-grond/buggenum/object-89218836-landweerstraat/?navigateSource=resultlist,2025-06-05 12:19:35,"Wij bieden u  een  mooi vlak  gelegen perceel  cultuurgrond aan, gelegen aan  de  Landweerstraat in Buggenum. Het perceel is goed toegankelijk  middels een oprit  vanuit zowel de Landweerstraat  als de  Eggelenweg.  Het  perceel is geschikt voor de teelt van diverse soorten akkerbouw- en tuinbouwgewassen of voor de boomteelt. Het perceel is voor biologische akkerbouw- / tuinbouw in gebruik en voor biologische teelten Skal gekwalificeerd. Op het perceel is een beregeningsput gelegen (niet geregi …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 95 a 65 ca,Bouwland,0 ha 95 a 65 ca,HAELEN G 352-HAELEN G 353-HAELEN G 406-HAELEN G 408,0 ha 26 a 85 ca (geheel perceel)-0 ha 14 a 0 ca (geheel perceel)-0 ha 14 a 35 ca (geheel perceel)-0 ha 40 a 45 ca (geheel perceel),Klei,,,,
,Heereveldseweg,Verkoop bij inschrijving,,5423 VM Handel,https://www.fundainbusiness.nl/agrarische-grond/handel/object-43850163-heereveldseweg/?navigateSource=resultlist,2025-06-05 12:19:38,"VERKOOP BIJ INSCHRIJVING  Bij  deze bieden  wij u  een perceel cultuurgrond gelegen  aan  de Heereveldseweg ong. te Handel aan met een  grootte van 4,01.50  ha.  De cultuurgrond  is te  koop  per  inschrijving.  Het inschrijfformulier kunt u tot en met 10 maart 2025 vóór 13:30 uur inleveren bij: Gerrits & Van Gulick Notarissen Gemert, Komweg 150, 5421 LH te Gemert.  U kunt het inschrijfformulier opvragen bij ons kantoor via: 0492-661884 of   LIGGING EN BEREIKBAARHEID Het perceel is gelegen in h …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,4 ha 1 a 50 ca,Bouwland,4 ha 1 a 50 ca,GEMERT P 227-GEMERT P 228,1 ha 76 a 20 ca (geheel perceel)-2 ha 25 a 30 ca (geheel perceel),,,,,
,Hilsdijk,Prijs op aanvraag,,8051 KE Hattem,https://www.fundainbusiness.nl/agrarische-grond/hattem/object-43780719-hilsdijk/?navigateSource=resultlist,2025-06-05 12:19:41,"Namens opdrachtgever wordt  een  perceel cultuurgrond  aangeboden aan  diverse aannemers, ontwikkelaars en  beleggers.  Het gaat om een perceel groot 1.00.00 ha  gelegen net ten  noordwesten van woonwijk “de  Hilst” in  de  mooie  stad Hattem en nabij Zwolle. Kadastraal bekend als gemeente Hattem, sectie G, nummer 249.  Ontsluiting: Het perceel wordt ontsloten via de Hilsdijk te Hattem. Langs de woning Hilsdijk 90 is een toegangsweg naar het perceel. Ten behoeve van deze toegang zal een erfdien …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,HATTEM G 249,1 ha 0 a 0 ca (deelperceel),Klei,220 meter,45 meter,,
,Rijksweg,Prijs op aanvraag,,6051 KP Maasbracht,https://www.fundainbusiness.nl/agrarische-grond/maasbracht/object-89057530-rijksweg/?navigateSource=resultlist,2025-06-05 12:19:46,"Wij bieden u  een  perceel cultuurgrond  aan welke  momenteel in gebruik is  als  grasland. Het perceel is gelegen aan de Rijksweg  het buitengebied van  Maasbracht nabij de uitvalswegen  A73 en  A2.    In de directe omgeving, namelijk het 'Brachterveld', zijn diverse agrarische cultuurgronden gelegen welke voor verschillende akkerbouw- en tuinbouwgewassen in gebruik zijn.  Kadastrale situatie Maasbracht, sectie L, nummer 604, groot ca. 00.89.50 ha  Bestemmingsplan Het perceel is gelegen in het …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 89 a 50 ca,Bouwland,0 ha 89 a 50 ca,MAASBRACHT L 604,0 ha 89 a 50 ca (geheel perceel),Zand,,,,
,Tervoortseweg,Prijs op aanvraag,,4854 NE Bavel (Gem. Breda),https://www.fundainbusiness.nl/agrarische-grond/bavel-gem-breda/object-89900932-tervoortseweg/?navigateSource=resultlist,2025-06-05 12:19:50,"TE KOOP Tervoortseweg,  Bavel  Perceel bos/natuurgrond  gelegen op  totaal 9.070 m²   Situering  Aan een rustige en karakteristieke weg in het  buitengebied van Breda/Bavel  ligt dit perceel bos/natuurgrond  van totaal  9.070  m²  groot. In het buitengebied met fietsroutes in de omgeving en het welbekende Breda bijna naast de deur.  Daarnaast is het perceel gelegen op geringe afstand van uitvalswegen en de voorzieningen van  Bavel en Molenschot.  Kadastrale gegevens Het geheel is als volgt kada …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bosperceel,,NIEUW-GINNEKEN M 40,0 ha 90 a 70 ca (geheel perceel),Zand,,,,Overig
,Trambaan,Prijs op aanvraag,,3299 WL Maasdam,https://www.fundainbusiness.nl/agrarische-grond/maasdam/object-43922338-trambaan/?navigateSource=resultlist,2025-06-05 12:19:54,"Van Gelder agrarische  &  landelijk vastgoed  biedt, geheel  vrijblijvend, te koop aan  het  hierna omschreven perceel grond groot 1.11.80 ha met  schuurtje en erfverharding,  staande en gelegen Trambaan  ong. te  Maasdam.    Omschrijving Het aangebodene betreft een perceel landbouwgrond met agrarische bestemming met een prima schuur van circa 50 vierkante meter en erfverharding.  Situering Het perceel is gelegen aan de Trambaan in Maasdam, centraal gelegen in de Hoeksche Waard en is prima bere …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,MAASDAM G 709,1 ha 11 a 80 ca (geheel perceel),Klei,,,,
,4 percelen omgeving Oosterhout,Verkoop bij inschrijving,,4911 AA Den Hout,https://www.fundainbusiness.nl/agrarische-grond/den-hout/object-43911536-4-percelen-omgeving-oosterhout/?navigateSource=resultlist,2025-06-05 12:19:57,"In het buitengebied  van  Den Hout,  Terheijden en  Teteringen worden diverse percelen  goed  ontsloten landbouwgrond te koop aangeboden. Alle percelen liggen  in een agrarische  omgeving, zijn volledig in  eigendom en  vrij  van  pacht. Ze zijn bereikbaar via verharde wegen en hebben een agrarische bestemming. Alle percelen zijn vrij van pacht leverbaar eind 2025. De verkoop vindt plaats via een inschrijvingsprocedure.   * Den Hout – Liniestraat In het buitengebied van Den Hout, aan de Liniest …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,,Losse grond,,Bouwland en grasland,,OOSTERHOUT U 368-OOSTERHOUT U 230-OOSTERHOUT U 231-OOSTERHOUT U 1084-TERHEIJDEN I 636-TETERINGEN F 402-TETERINGEN F 403-TETERINGEN F 404-TETERINGEN F 405,2 ha 51 a 60 ca (geheel perceel)-0 ha 16 a 50 ca (geheel perceel)-2 ha 48 a 90 ca (geheel perceel)-5 ha 69 a 30 ca (deelperceel)-1 ha 52 a 20 ca (geheel perceel)-0 ha 71 a 70 ca (geheel perceel)-0 ha 11 a 10 ca (geheel perceel)-0 ha 14 a 90 ca (geheel perceel)-0 ha 58 a 10 ca (geheel perceel),Zand,,,,
,Broekpolderweg,€ 380.000 k.k.,,3155 EP Maasland,https://www.fundainbusiness.nl/agrarische-grond/maasland/object-43990813-broekpolderweg/?navigateSource=resultlist,2025-06-05 12:20:14,"Van Gelder agrarisch  &  landelijk vastgoed  biedt, geheel  vrijblijvend, te koop aan  de  hierna omschreven percelen verpacht grasland, totaal groot 7.19.40  ha, gelegen nabij  Broekpolderweg 3 in Maasland.   Omschrijving  Het  betreft  percelen blijvend grasland van goede kwaliteit.  Situering De percelen zijn nabij Broekpolderweg 3 in Maasland   Kadastrale informatie Het betreft de kadastrale percelen Vlaardingen N 212 groot 5.65.14 ha en N 216 groor 1.54.25 ha. Totaal groot 7.19.40 ha  Toeg …",€ 380.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,VLAARDINGEN N 212-VLAARDINGEN N 216,5 ha 65 a 15 ca (geheel perceel)-1 ha 54 a 25 ca (geheel perceel),,,,,
,Zeggeweg,Verkoop bij inschrijving,,4731 SH Oudenbosch,https://www.fundainbusiness.nl/agrarische-grond/oudenbosch/object-43983745-zeggeweg/?navigateSource=resultlist,2025-06-05 12:20:19,"Mooie kavel cultuurgrond  ter  grootte van  55.080 m²  te koop middels inschrijving  Gelegen  in het buitengebied tussen Oudenbosch, Zegge en Oud-Gastel.  Aanvaarding: Medio december  2025  Dit perceel  goede cultuurgrond  is  goed  bereikbaar via een drietal eigen opritten en is gelegen aan een openbare en verharde weg tussen de dorpen Oud Gastel, Oudenbosch en Zegge.  Ook vanaf het naastgelegen semiverharde weggetje het Heistraatje is het goed te bereiken.  Het perceel ligt op ca. 4,4 meter b …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,5 ha 50 a 80 ca,Bouwland,5 ha 50 a 80 ca,OUDENBOSCH F 355-OUDENBOSCH F 356-OUDENBOSCH F 714,0 ha 81 a 50 ca (geheel perceel)-4 ha 18 a 70 ca (geheel perceel)-0 ha 50 a 60 ca (geheel perceel),,,,,
,Van de Veldenweg,Prijs op aanvraag,,5087 TM Diessen,https://www.fundainbusiness.nl/agrarische-grond/diessen/object-89274177-van-de-veldenweg/?navigateSource=resultlist,2025-06-05 12:20:22,"RUILING BIJ INSCHRIJVING    Groen Ontwikkelfonds  Brabant heeft  de beschikking over 12,85  ha  landbouwgrond bij Diessen om deze in te zetten  als ruilgrond. Het  doel van ruilen is  het realiseren  van  het  Natuurnetwerk Brabant op een andere plek in Brabant. Met deze inschrijfprocedure zoekt Groen Ontwikkelfonds Brabant een of meerdere grondeigenaren die bereid zijn (een deel van) hun grond te ruilen met (een deel van) de aangeboden landbouwgrond in Diessen.  In de inschrijfleidraad vind je …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,HILVARENBEEK Q 1218-HILVARENBEEK Q 1217-HILVARENBEEK Q 1220,5 ha 28 a 30 ca (geheel perceel)-5 ha 87 a 85 ca (geheel perceel)-1 ha 69 a 65 ca (geheel perceel),Zand,,,,
,Tielsestraat,Verkoop bij inschrijving,,6673 AD Andelst,https://www.fundainbusiness.nl/agrarische-grond/andelst/object-89070589-tielsestraat/?navigateSource=resultlist,2025-06-05 12:20:26,"TE KOOP BIJ  INSCHRIJVING:  - agrarische  cultuurgrond -  boomteeltgeschikt - oppervlakte: 4.89.20  ha  - courante kavelvorm, circa 240 m breed aan  de straat, lichte  geer aan zuidzijde -  gelegen nabij  Wely,  in  het open buitengebied tussen Dodewaard en Herveld/Andelst - geen woningen nabij het perceel (dus geen “spuitvrije zone” rondom burgerwoning) - geen ondergrondse kabels of leidingen bekend - twee rechtstreekse ontsluitingen op de Tielsestraat - omliggende A-, B- en C-watergangen - go …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Losse grond,4 ha 89 a 20 ca,Bouwland,4 ha 89 a 20 ca,VALBURG F 364,4 ha 89 a 20 ca (geheel perceel),Klei,,238 meter,,
,Neterselsedijk,Verkoop bij inschrijving,,5094 BD Lage Mierde,https://www.fundainbusiness.nl/agrarische-grond/lage-mierde/object-89348450-neterselsedijk/?navigateSource=resultlist,2025-06-05 12:20:30,"BIJ INSCHRIJVING TE  KOOP  AANGEBODEN: 01.69.84 hectare  cultuurgrond te  Lage Mierde, gelegen aan  de  Neterselsedijk. Inschrijven is mogelijk tot vrijdag 13 juni  2025, 12.00 uur  in de middag.   Kadastrale gegevens  Het  perceel  is kadastraal bekend: Gemeente Hooge en Lage Mierde, sectie K, nummer 805, groot 0.04.89 hectare Gemeente Hooge en Lage Mierde, sectie K, nummer 806, groot 1.64.95 hectare Totaal groot 1.69.84 hectare.  Bestemmingsplan Het perceel is gelegen in het Bestemmingsplan b …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,HOOG EN LAGE MIERDE K 805-HOOGE EN LAGE MIERDE K 806,0 ha 4 a 89 ca (geheel perceel)-1 ha 64 a 95 ca (geheel perceel),,,,,
,Maalbekerweg,Prijs op aanvraag,,5951 NS Belfeld,https://www.fundainbusiness.nl/agrarische-grond/belfeld/object-89314177-maalbekerweg/?navigateSource=resultlist,2025-06-05 12:20:34,"Heeft u al  eens  gedroomd van  uw eigen  stukje bos? Bij deze  bieden  wij u een perceel  bos  aan,  groot circa 4.010 m², gelegen  in  een mooi  natuurrijk  landschap  in  Belfeld dichtbij  de Duitse grens. Het perceel is goed bereikbaar middels een verharde weg de 'Maalbekerweg' en is gelegen achter vakantiepark EuroParcs Maasduinen. Door het perceel loopt een weggetje voor wandelaars of fietsers. Het perceel kent diverse hoogteverschillen.  Het perceel is rechthoekig van vorm en goed ontslo …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 40 a 10 ca,Bosperceel,0 ha 40 a 10 ca,BELFELD B 677,0 ha 40 a 10 ca (geheel perceel),Zand,,,,
,Buurtweg 38,Verkoop bij inschrijving,,3956 ND Leersum,https://www.fundainbusiness.nl/agrarische-grond/leersum/object-43847921-buurtweg-38/?navigateSource=resultlist,2025-06-05 12:20:38,"Percelen agrarische cultuurgrond,  in  totaal groot  circa 29  hectare in het buitengebied  van  Leersum. De cultuurgrond is gelegen in midden-Nederland, binnen  de gemeente Utrechtse  Heuvelrug en Wijk bij  Duurstede. Het  betreft  4  losse percelen, waarvan percelen 1, 2 en 3 gelegen zijn aan de Buurtweg te Leersum en perceel 4 gelegen is aan de Gooyerdijk te Langbroek. De percelen zijn geheel in gebruik als grasland. De percelen zijn zowel los als in zijn geheel te koop.  Perceel 1 Groot cir …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,28 ha 86 a 85 ca,Grasland,8 ha 6 a 45 ca,LANGBROEK C 731-LANGBROEK C 801-LEERSUM E 991-LEERSUM E 992,4 ha 15 a 65 ca (geheel perceel)-3 ha 90 a 80 ca (geheel perceel)-18 ha 38 a 60 ca (deelperceel)-2 ha 41 a 40 ca (geheel perceel),Klei en zand,,,20 ha 80 a 40 ca,
,Batelaan,Prijs op aanvraag,,2396 ET Koudekerk aan den Rijn,https://www.fundainbusiness.nl/agrarische-grond/koudekerk-aan-den-rijn/object-43832891-batelaan/?navigateSource=resultlist,2025-06-05 12:20:42,"Algemene informatie: -	De  oppervlakte  van de  cultuurgrond is  11.02.20 ha -	De percelen  zijn  via twee dammen ontsloten op de Batelaan -	De  gemeten maat van  de percelen is 10.04.13  ha -	De  grond  heeft  de bestemming Agrarisch  Voor meer informatie kunt u de brochure opvragen via  of 0348 502 224. Hierin kunt u meer informatie vinden over de cultuurgrond, bestemming en vraagprijs.   Contactpersonen: De Koning en Witzier makelaars -	Pieter Doelman:	06 - 36 48 37 70 -	Niek Doelman: 	06 -  …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,KOUDEKERK AAN DEN RIJN B 243-KOUDEKERK AAN DEN RIJN B 257-KOUDEKERK AAN DEN RIJN B 241-KOUDEKERK AAN DEN RIJN B 242-KOUDEKERK AAN DEN RIJN B 4529-KOUDEKERK AAN DEN RIJN B 245-KOUDEKERK AAN DEN RIJN B 240-KOUDEKERK AAN DEN RIJN B 246-KOUDEKERK AAN DEN RIJN B 244,1 ha 12 a 10 ca (geheel perceel)-1 ha 20 a 0 ca (geheel perceel)-1 ha 0 a 20 ca (geheel perceel)-1 ha 2 a 70 ca (geheel perceel)-2 ha 16 a 10 ca (geheel perceel)-1 ha 66 a 80 ca (geheel perceel)-0 ha 25 a 80 ca (geheel perceel)-0 ha 87 a 30 ca (geheel perceel)-1 ha 71 a 20 ca (geheel perceel),Klei,,,,
,Van Rijckevorselweg,Verkoop bij inschrijving,,5382 JK Vinkel (Gem. Den Bosch),https://www.fundainbusiness.nl/agrarische-grond/vinkel-gem-den-bosch/object-43828971-van-rijckevorselweg/?navigateSource=resultlist,2025-06-05 12:20:46,"Te koop bij  inschrijving:  een min  of meer  rechthoekig gevormd perceel landbouwgrond  (momenteel  in gebruik voor akkerbouw) van ruim 5,1 hectare.  Het perceel heeft  een breedte van circa  200 m¹  en  een  lengte van circa 290 m¹. Het perceel is direct ontsloten tot het openbare gemeentelijke zandpad (gelegen tussen de Van Rijckevorselweg en de Coppendijk). Aan de zuid- en westkant grenst het perceel aan een (kleine) watervoerende sloot. Bijna alle omliggende gronden betreffen hoofdzakelijk …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Losse grond,,Bouwland,,NULAND E 814-NULAND E 1293,1 ha 22 a 50 ca (geheel perceel)-3 ha 93 a 65 ca (geheel perceel),Zand,290 meter,200 meter,,
,Bredestraat 2,Prijs op aanvraag,,4635 RK Huijbergen,https://www.fundainbusiness.nl/agrarische-grond/huijbergen/object-89270779-bredestraat-2/?navigateSource=resultlist,2025-06-05 12:20:50,Namens opdrachtgever TE  KOOP  aangeboden:   Perceel prima  landbouwgrond ter grootte van  ca  1.63.00 ha  Perceel goede landbouwgrond gelegen aan  de Bredestraat ong.  te Huijbergen  A.	Omschrijving  ALGEMEEN   De  grond  is gelegen aan de Bredestraat ong. te Huijbergen. Het perceel is in gebruik als agrarische grond. Het perceel is ontsloten middels een openbare weg.  GEBRUIK   Op dit moment zijn de gronden in gebruik bij een agrariër. De grond wordt vrij van gebruik geleverd. Er is geen bebo …,Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,WOENSDRECHT D 115,1 ha 63 a 0 ca (geheel perceel),Zand,,,,
,Stevensbeekseweg,€ 95.000 k.k.,,5825 JC Overloon,https://www.fundainbusiness.nl/agrarische-grond/overloon/object-89264605-stevensbeekseweg/?navigateSource=resultlist,2025-06-05 12:20:55,"Te koop, een  perceel  bosgrond grenzend  aan de  Lactariabossen (ook wel bekend  als  'de Hondsberg"")  Bent  u  geïnteresseerd  in natuurherstel of duurzame houtkap?  Dan  is dit  perceel  mogelijk  interessant  voor u!   Het perceel werd voorheen intensief gebruikt als mijnbos, waardoor de grond nu goed belicht en open is. Na afgraven of begrazen, waardoor het potentiële overschot aan voedingsstoffen verdwijnt, is de zandbodem uitermate geschikt voor een aantal inheemse kwetsbare soorten zoal …",€ 95.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bosperceel,,VIERLINGSBEEK D 791,3 ha 65 a 75 ca (geheel perceel),Zand,,,,
,nabij Grensweg,Prijs op aanvraag,,6039 RS Stramproy,https://www.fundainbusiness.nl/agrarische-grond/stramproy/object-89258616-nabij-grensweg/?navigateSource=resultlist,2025-06-05 12:20:59,"Hierbij bieden wij  u  een perceel  cultuurgrond aan,  groot ca. 00.49.59 ha,  welk  is gelegen aan de Grensweg, deels in het  buitengebied van Stramproy  en deels op Belgisch  grondgebied (Molenbeersel).  Het  perceel  heeft een rechthoekige vorm. Het perceel is gelegen aan een onverharde weg, de Grensweg. Het perceel wordt in een geheel aangeboden.  Kadastrale situatie Stramproy, sectie G, nummer 179, groot ca. 00.08.77 ha Kinrooi, 2e afdeling Molenbeersel, sectie D, nummer 958 E/6, groot ca. …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 49 a 59 ca,Bouwland en grasland,0 ha 49 a 59 ca,STRAMPROY G 179-KINROOI 2E AFD. D 958 E,0 ha 8 a 77 ca (geheel perceel)-0 ha 40 a 82 ca (geheel perceel),Zand,,,,
,Tungeler Dorpsstraat,Verkoop bij inschrijving,,6005 RJ Weert,https://www.fundainbusiness.nl/agrarische-grond/weert/object-43868006-tungeler-dorpsstraat/?navigateSource=resultlist,2025-06-05 12:21:03,"Te koop per  inschrijving:   Een  perceel cultuurgrond,  thans ingezaaid met groenbemester,  gesitueerd  in het buitengebied van Weert met een totale  oppervlakte van ruim  4 ha.  Kadaster:  Gemeente Weert,  sectie  AC,  nummers 1005 en 665, gezamenlijk groot 41.244 m²  Ligging:                    Het perceel is gelegen aan een verharde weg in het buitengebied van Weert. Het perceel is toegankelijk vanaf zowel de Tungeler Dorpsstraat als de Maaseikerweg.   Grondsoort:              De ondergrond …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,4 ha 9 a 89 ca,Grasland,,WEERT AC 1005-WEERT AC 665,4 ha 9 a 89 ca (geheel perceel)-0 ha 2 a 55 ca (geheel perceel),Zand,,,4 ha 9 a 89 ca,
,Polderdijk,Prijs op aanvraag,,5396 PB Lithoijen,https://www.fundainbusiness.nl/agrarische-grond/lithoijen/object-88395434-polderdijk/?navigateSource=resultlist,2025-06-05 12:21:08,"TE KOOP: PERCELEN  LANDBOUWGROND  TE LITHOIJEN,  10.45.85 HA.  Indien gewenst kunnen de  onderhavige  gronden ook in gedeelten verkocht worden.  Het  betreft een tweetal  percelen landbouwgrond met een  als geheel  courante  vorm  en omvang. Het geheel is gelegen ten zuid- oosten van Lithoijen (gemeente Oss)/ ten noord- westen van Oss. De betreffende veldkavel heeft globaal een lengte (parallelle aan de Polderdijk) van circa 365 m¹ en een breedte van circa 296 m¹. De betreffende percelen zijn o …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,10 ha 45 a 85 ca,Grasland,,LITH H 115-LITH H 116,9 ha 47 a 30 ca (geheel perceel)-0 ha 98 a 55 ca (deelperceel),Klei,365 meter,296 meter,10 ha 45 a 85 ca,
,Boekelseweg,€ 382.350 k.k.,,5469 SZ Erp,https://www.fundainbusiness.nl/agrarische-grond/erp/object-43981594-boekelseweg/?navigateSource=resultlist,2025-06-05 12:21:12,"Het betreft een  rechthoekig  (aan de  achterzijde taps  toelopend) perceel landbouwgrond (tijdelijk  grasland)  van ruim 2,5 hectare.  Het  perceel  heeft een frontbreedte (aan de  straatzijde)  van circa  138  m¹  en  een diepte  van gemiddeld 190 m¹. Het perceel is direct ontsloten tot de openbare verharde weg (de Boekelseweg; verlengde van de Rijkerbeek). De omliggende gronden betreffen hoofdzakelijk min of meer soortelijke landbouwgronden.   Het perceel heeft een reguliere agrarisch bestem …",€ 382.350 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,ERP R 411,2 ha 54 a 90 ca (geheel perceel),Zand,190 meter,138 meter,,
,Nieuwe Dijk,Verkoop bij inschrijving,,4041 CZ Kesteren,https://www.fundainbusiness.nl/agrarische-grond/kesteren/object-43976403-nieuwe-dijk/?navigateSource=resultlist,2025-06-05 12:21:29,"Percelen landbouwgrond, Nieuwe  Dijk  te Kesteren   Ten  zuiden van de bebouwde  kom  van Kesteren, op korte afstand van de op-  en afritten van  de A15, ligt aan  de Nieuwe  Dijk  in  Kesteren een goed ontsloten perceel landbouwgrond met een oppervlakte van 1.73.85 hectare.   Het perceel is de afgelopen jaren in gebruik geweest als grasland. Aan drie zijden is het perceel omgeven door percelen in het gebruik bij boomkwekerijen.  Aan de zuidzijde van het perceel, direct achter de stalen poort i …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,KESTEREN C 527-KESTEREN C 350,0 ha 79 a 75 ca (geheel perceel)-0 ha 94 a 10 ca (geheel perceel),Klei en zavel,340 meter,50 meter,,
,Zaanderweg,Prijs op aanvraag,,5928 RN Venlo,https://www.fundainbusiness.nl/agrarische-grond/venlo/object-89235872-zaanderweg/?navigateSource=resultlist,2025-06-05 12:21:33,"Wij bieden u  te  koop aan  een mooi  perceel bos met een  oppervlakte  van 01.67.05 ha. Het perceel is gelegen in  Venlo nabij de  Zaanderweg (Zaarderheiken) en is  goed bereikbaar  met  de  auto via een verharde en onverharde weg.  Het perceel is regelmatig van vorm, is goed ontsloten, vrij gelegen en biedt daarmee volop kansen voor mensen die op zoek zijn naar een bos voor recreatie, houtwinning, vogel spotten, natuurbeleving of als belegging.  De omgeving wordt gekenmerkt door voornamelijk  …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,1 ha 67 a 5 ca,Bosperceel,1 ha 67 a 5 ca,VENLO V 61-VENLO V 62,0 ha 83 a 25 ca (geheel perceel)-0 ha 83 a 80 ca (geheel perceel),Zand,,,,
,Wildingsteeg,€ 30.000 k.k.,,6004 SP Weert,https://www.fundainbusiness.nl/agrarische-grond/weert/object-89239251-wildingsteeg/?navigateSource=resultlist,2025-06-05 12:21:36,"Hierbij bieden wij  u  een perceel  cultuurgrond aan,  groot 00.22.65 ha. Het  perceel  is gelegen aan een onverharde weg 'Wildingsteeg', in  het buitengebied van  Weert, maar tevens op  korte aftand  van  het  buurtschap ‘Leuken’. Het betreft een langgerekt perceel welke momenteel als paardenweide wordt gebruikt.   Kadastrale situatie Weert, sectie E, nummer 1884, groot ca. 00.22.65 ha  Bestemmingsplan Het perceel is gelegen binnen het bestemmingsplan “Buitengebied 2011” van de Gemeente Weert, …",€ 30.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 22 a 65 ca,Grasland,0 ha 22 a 65 ca,WEERT E 1884,0 ha 22 a 65 ca (geheel perceel),Zand,,,,
,Mildert,Prijs op aanvraag,,6031 SM Nederweert,https://www.fundainbusiness.nl/agrarische-grond/nederweert/object-43667944-mildert/?navigateSource=resultlist,2025-06-05 12:21:40,"In het buitengebied  van  Nederweert bieden  wij u  een perceel landbouwgrond aan  van  10.40.35 ha.  Het perceel is gelegen aan  de Mildert te  Nederweert . De zuidzijde  van het  perceel  grenst  aan de Tungelroyse Beek. De laatste jaren is er mais geteeld op de grond.   Planologisch: Het perceel is gelegen in het bestemmingsplan “Buitengebied Nederweert"" van de gemeente Nederweert. Binnen dit bestemmingsplan heeft het perceel de enkelbestemming “Agrarisch met waarden - Ontwikkelingszone groe …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,10 ha 40 a 35 ca,Bouwland,,NEDERWEERT S 485-NEDERWEERT S 537,10 ha 4 a 95 ca (geheel perceel)-0 ha 35 a 40 ca (geheel perceel),,,,10 ha 40 a 35 ca,
