listing_id,title,price,area,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Aangeboden sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Oppervlakten_Totale oppervlakte,Oppervlakten_Type land,Oppervlakten_Veldkavels,kadastrale_code,eigendomssituatie,Oppervlakten_Grondsoort,Oppervlakten_Grond lengte,Oppervlakten_Grond breedte,Oppervlakten_Huiskavels,Bouw_Mogelijke functie(s)
,Koeberg,Prijs op aanvraag,,5991 NH Baarlo (LI),https://www.fundainbusiness.nl/agrarische-grond/baarlo-li/object-89284933-koeberg/?navigateSource=resultlist,2025-06-05 12:18:31,"TE KOOP AANGEBODEN:  2  percelen bosgrond  gelegen in  de omgeving van Noord-Limburg  nabij  Bovensbos Helden met een totale oppervlakte van 01.16.00 ha.   Namens verkoper  bieden wij twee percelen  bosgrond aan  in  de  regio Helden-Panningen. Het zijn twee bospercelen op zandgrond, met als opstand hoofdzakelijk naaldbomen. Er zijn geen noemenswaardige belendingen te benoemen. De percelen zijn te bereiken middels zandpaden. Dit betreft wandel- dan wel gemotoriseerde paden.  Kadastrale aanduidi …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bosperceel,,HELDEN D 4945-HELDEN D 4946,0 ha 54 a 40 ca (geheel perceel)-0 ha 61 a 60 ca (geheel perceel),Zand,,,,
,Oosterweg M 8-m,Prijs op aanvraag,,1482 AH Purmer (Gem. Waterland),https://www.fundainbusiness.nl/agrarische-grond/purmer-gem-waterland/object-89247242-oosterweg-m-8-m/?navigateSource=resultlist,2025-06-05 12:18:35,Zeer goede kavel  cultuurgrond  gelegen in  Polder ''De  Purmer'' totaal groot 8.96.80ha  Het  perceel is zeer goed bereikbaar met een ontsluiting  aan de openbare  weg. De ligging van  dit perceel  valt  onder  de gemeente Waterland en is gelegen in een agrarisch buitengebied.  Omschrijving  Het perceel bestaat uit 3 achter elkaar liggende kadastrale percelen gescheiden door tussensloten en met dammen aan elkaar verbonden.  Kenmerken: Aard klei: normaal Bouwvoorzwaarte: klei Kalkverloop: kalka …,Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,8 ha 96 a 80 ca,Grasland,8 ha 96 a 80 ca,MONNICKENDAM D 203-MONNICKENDAM D 204-MONNICKENDAM D 205,0 ha 81 a 90 ca (deelperceel)-3 ha 68 a 10 ca (deelperceel)-4 ha 46 a 80 ca (deelperceel),Klei,1000 meter,90 meter,,
,Hildsven,Verkoop bij inschrijving,,5066 CM Moergestel,https://www.fundainbusiness.nl/agrarische-grond/moergestel/object-89215082-hildsven/?navigateSource=resultlist,2025-06-05 12:18:40,Algemeen Betreft een  perceel  landbouwgrond ter  grootte van  circa 6.29.55 ha. Perceel  wordt  in twee kopen aangeboden. Te weten Koop A  en Koop B.  Koop A is een  nagenoeg rechthoekig  perceel  bouwland  van 4.08.60 hectare wat ook in gebruik is geweest als boomkwekerij. Het is zowel ontsloten aan de zuidelijk gelegen Hild als ook aan de oostelijk gelegen weg Hildsven. Koop B van 2.20.95 hectare is in gebruik als paardenweide. Het heeft een eigen ontsluiting aan het Hildsven.  Beregeningsve …,Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland en grasland,,OISTERWIJK K 319-OISTERWIJK K 1583-OISTERWIJK K 1585,1 ha 63 a 70 ca (geheel perceel)-2 ha 20 a 95 ca (geheel perceel)-2 ha 44 a 90 ca (geheel perceel),Zand,,,,
,Lageweg,Prijs op aanvraag,,4908 DW Oosterhout (NB),https://www.fundainbusiness.nl/agrarische-grond/oosterhout-nb/object-89211969-lageweg/?navigateSource=resultlist,2025-06-05 12:18:44,"Perceel grasland gelegen  aan  de Lageweg  te Oosterhout  met een totale oppervlakte  van  ca. 02.17.10 ha.  Situering  Het perceel  is gelegen aan  de Lageweg te Oosterhout  en heeft  een  totale  grootte van circa 02.17.10 hectare. De gunstige ligging in combinatie met de eigenschappen van het perceel maakt het niet alleen geschikt voor agrarisch gebruik, maar biedt ook interessante mogelijkheden voor alternatieve bestemmingen, zoals natuurcompensatie.  Kadastrale gegevens Het geheel is als v …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,OOSTERHOUT C 852,2 ha 17 a 10 ca (geheel perceel),Klei,,,,
,Molenweg,Prijs op aanvraag,,3291 KE Strijen,https://www.fundainbusiness.nl/agrarische-grond/strijen/object-89211830-molenweg/?navigateSource=resultlist,2025-06-05 12:18:49,"Perceel grasland gelegen  aan  de Molenweg  te Strijen  met een totale oppervlakte  van  ca. 06.64.25 ha.  Situering   Het perceel is  gelegen aan  de Molenweg  te Strijen  en heeft  een  totale grootte van circa 06.64.25 hectare. De gunstige ligging in combinatie met de eigenschappen van het perceel maakt het niet alleen geschikt voor agrarisch gebruik, maar biedt ook interessante mogelijkheden voor alternatieve bestemmingen, zoals natuurcompensatie.  Kadastrale gegevens Het geheel is als volg …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,STRIJEN W 301,6 ha 64 a 25 ca (geheel perceel),Klei,,,,
,Arenbos,€ 57.500 k.k.,,6093 ND Heythuysen,https://www.fundainbusiness.nl/agrarische-grond/heythuysen/object-89102295-arenbos/?navigateSource=resultlist,2025-06-05 12:19:00,"Wij bieden u  een  mooi weiland  met schuilstal  aan, gelegen aan de  rand  van Heythuysen. Het weiland is volledig voorzien van  een afrastering met  gegalvaniseerde palen en een  degelijke stalen  dubbele  toegangspoort.  Het perceel leent zich ideaal voor het hobbymatig houden van paarden/dieren. Op het perceel staat een stal, deze dienst kan doen als paardenstal of schuilplaats (ca. 8m x 4m). De stal is gebouwd uit betonplaten en met hout betimmerd wat zorgt voor een landelijke uitstraling. …",€ 57.500 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 44 a 60 ca,Grasland,0 ha 44 a 60 ca,HEYTHUYSEN M 284,0 ha 44 a 60 ca (geheel perceel),Zand,,,,
,Purmerenderweg M,€ 156.000 k.k.,,1482 AM Purmer (Gem. Waterland),https://www.fundainbusiness.nl/agrarische-grond/purmer-gem-waterland/object-89184635-purmerenderweg-m/?navigateSource=resultlist,2025-06-05 12:19:03,"Te koop: Hobbyweide  van  6.230 m²  aan de  Purmerenderweg M  Bent  u  op zoek naar een  ruime  hobbyweide  voor uw paarden of ander  vee?  Deze grote  kavel  van  6.230  m², gelegen  aan de Purmerenderweg M, biedt een uitstekende gelegenheid voor een paardenliefhebber of hobbyboer!  Ligging en bereikbaarheid  Het perceel is gunstig gelegen langs de Purmerenderweg M en beschikt over een eigen op- en uitrit via een brug, waardoor het eenvoudig toegankelijk is met voertuigen. De lengte van het pe …",€ 156.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 62 a 30 ca,Grasland,,MONNICKENDAM D 547,0 ha 62 a 30 ca (geheel perceel),Klei,464 meter,13 meter,0 ha 62 a 30 ca,
,Polderweg,Prijs op aanvraag,,4664 PB Lepelstraat,https://www.fundainbusiness.nl/agrarische-grond/lepelstraat/object-89134174-polderweg/?navigateSource=resultlist,2025-06-05 12:19:07,"Landgoed De Brabantse  Wal  heeft direct  zicht op  het Zeeuwse eiland Tholen  en  biedt u de kans om het voedselbos verder  te ontwikkelen. Ontdek  de waarde van jouw  natuur!   De  ligging  De Brabantse Wal is een steilrand die zorgt voor een zichtbaar hoogteverschil in het landschap. Het landgoed is zeer gemakkelijk te bereiken via de A4 (afslag 26) en de N286 richting Zeeland, en ligt in de driehoek Polderweg, Heenweg en Jan Bodeweg. Het met houten hekken omheinde perceel is voor u via 3 po …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland en bosperceel,,HALSTEREN L 68-HALSTEREN L 73-HALSTEREN L 510-HALSTEREN L 612,0 ha 24 a 10 ca (geheel perceel)-2 ha 13 a 65 ca (geheel perceel)-3 ha 84 a 25 ca (geheel perceel)-1 ha 68 a 30 ca (geheel perceel),,,,,
,Struiken,Verkoop bij inschrijving,,5993 NA Maasbree,https://www.fundainbusiness.nl/agrarische-grond/maasbree/object-43606865-struiken/?navigateSource=resultlist,2025-06-05 12:19:13,"Te koop per  inschrijving:   2  Percelen cultuurgrond,  thans in gebruik voor  akkerbouw  (asperges), gesitueerd in het buitengebied tussen Sevenum en  Maasbree en grenzend  aan de afrit van  de snelweg  A67,  met  een totale oppervlakte van ca. 3,5 ha. Een locatie met toekomstperspectief!   Inschrijven is mogelijk tot uiterlijk vrijdag 15 november a.s. om 12.00u. Een inschrijfformulier is verkrijgbaar via ons kantoor.  Kadaster:                 Gemeente Maasbree, sectie W, nummers 38 en 39, gr …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,3 ha 52 a 42 ca,Bouwland,,MAASBREE W 38-MAASBREE W 39,0 ha 75 a 68 ca (geheel perceel)-2 ha 76 a 74 ca (geheel perceel),Zand,,,3 ha 52 a 42 ca,
,Schalterbergweg,€ 73.822 k.k.,,7361 TK Beekbergen,https://www.fundainbusiness.nl/agrarische-grond/beekbergen/object-43679658-schalterbergweg/?navigateSource=resultlist,2025-06-05 12:19:18,"BEEKBERGEN - SCHALTERBERGWEG  ONG.   Gelegen  in het  buitengebied van Beekbergen, nabij  de  openbare verharde weg, perceel bosgrond, met een oppervlakte  van 1 ha  73 a 70 ca  (17.370 m²).  De  begroeiing  van het perceel is voornamelijk grove den.  Aanvaarding in overleg  Vraagprijs € 4,25 p/m² k.k.",€ 73.822 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bosperceel,,BEEKBERGEN L 2924,1 ha 73 a 70 ca (geheel perceel),,,,,
,Hoevenseweg,Prijs op aanvraag,,5334 LG Velddriel,https://www.fundainbusiness.nl/agrarische-grond/velddriel/object-89900906-hoevenseweg/?navigateSource=resultlist,2025-06-05 12:19:22,"Te koop aangeboden  in  het buitengebied  van Velddriel  een perceel cultuurgrond van  02.85.90  ha., gelegen aan de Hoevenseweg.  Namens verkoper  bieden wij te  koop aan een mooi  perceel agrarische  cultuurgrond  gelegen  aan de openbare verharde weg in het buitengebied van Velddriel. Het perceel is mooi rechthoekig van vorm, zonder noemenswaardige belendingen in de directe omgeving. Vanwege het gebruik van het perceel in het verleden, is het afgesloten middels twee grote poorten. Middels de …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,MAASDRIEL M 98,2 ha 85 a 90 ca (geheel perceel),,190 meter,115 meter,,
,Hoeksestraat 21-a,€ 225.000 k.k.,,5712 AP Someren,https://www.fundainbusiness.nl/agrarische-grond/someren/object-42270740-hoeksestraat-21-a/?navigateSource=resultlist,2025-06-05 12:19:26,"Prachtig gelegen perceel  weiland  met een  vrijstaande schuur.   BIJZONDERHEDEN - Op  het  perceel is een waterput aanwezig waarop een waterpomp  is aangesloten -  De schuur is voorzien  van elektra    OMGEVING  Het perceel bevindt zich op ca. 2,50 kilometer afstand van het centrum van Someren met de dagelijkse voorzieningen, diverse terrassen en eetgelegenheden.  Op ca. 6 kilometer zijn diverse recreatie mogelijkheden gelegen. Maak een ontspannende wandeling op de Strabrechtse Heide of pak de …",€ 225.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,SOMEREN T 2-SOMEREN T 2012,0 ha 8 a 10 ca (geheel perceel)-0 ha 62 a 70 ca (geheel perceel),,,,,
