listing_id,title,category,price,location,url,initial_scraped_date,description,Overdracht_Huurprijs,Overdracht_Servicekosten,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwperiode,Oppervlakten_Oppervlakte,Indeling_Aantal_bouwlagen,Indeling_Voorzieningen,Energie_Energielabel,Omgeving_Ligging,Omgeving_Bereikbaarheid,Overdracht_Vraagprijs,Bouw_Bouwjaar,Oppervlakten_Perceel,Parkeergelegenheid_Parkeerplaatsen,Overdracht_Oorspronkelijke_huurprijs,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Kantoor_oppervlak,Parkeergelegenheid_Parkeerkosten,Oppervlakten_Verkoopvloeroppervlakte,Oppervlakten_Breedte_gevel,Omgeving_Bijdrage_winkeliersvereniging,Omgeving_Welstandsklasse,Bouw_Mogelijke_functie(s),Omgeving_Lokale_voorzieningen,Overdracht_Eigendomssituatie,Beleggingsobject_Bruto_huuropbrengst,Beleggingsobject_Huurders,Beleggingsobject_Verhuurd,Oppervlakten_Terrein_oppervlak,Oppervlakten_Draagvermogen,Overdracht_Oorspronkelijke_vraagprijs
43690202,Sterrebos 44,Winkel met showroom|Kantoor,Prijs n.o.t.k.,5344 AM Oss,https://www.fundainbusiness.nl/winkel/oss/object-43690202-sterrebos-44/?navigateSource=resultlist,2025-06-11 11:43:29,"Veelzijdig bedrijfspand op  absolute  A1-locatie   Dit representatieve  bedrijfspand met daarboven meerdere  appartementen,  nog te realiseren, is  gelegen  op  een absolute A1-locatie. Direct naast  het  overdekte winkelcentrum  De  Ruwert  en  tegenover een  toekomstig medisch centrum, vormt deze plek een dynamisch knooppunt waar wonen, winkelen, zorg en bedrijvigheid samenkomen. Dankzij de recentelijke investeringen in winkelcentrum De Ruwert en de continue ontwikkeling van de omgeving, prof …",Huurprijs nader overeen te komen,,Log in om te bekijken,Beschikbaar,In overleg,Winkel met showroom,Bestaande bouw,,458 m² (in units vanaf 278 m²),2 bouwlagen,,Niet beschikbaar,Winkelcentrum en in woonwijk,"Bushalte op minder dan 500 m, busknooppunt op 2000 m tot 3000 m, NS Intercitystation op 2000 m tot 3000 m en snelwegafrit op 2000 m tot 3000 m",,1972,,,,,,,278 m²,,Nee,A2,Kantoorruimte,,,,,,,,
43654752,Molenstraat 62,Kantoor,€ 5.450 /mnd,5341 GE Oss,https://www.fundainbusiness.nl/kantoor/oss/object-43654752-molenstraat-62/?navigateSource=resultlist,2025-06-11 11:43:34,"Locatie Dit bijzondere  herenhuis,  wat geregistreerd  staat als  gemeentelijk monument, is gelegen  op  een zeer markante en herkenbare zichtlocatie aan de  Molenstraat, direct tegenover  het Jan Cunen Museum  met naastgelegen  stadspark  waar  je op uitkijkt. Het Centraal NS-station en busstation zijn op nog geen 100 meter loopafstand gelegen. Hiernaast geldt dat de Molenstraat, ondanks het feit dat deze zich in het centrum van de stad bevindt, uitermate goed bereikbaar is per eigen vervoer.  …",€ 5.450 per maand,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,340 m²,3 bouwlagen,"Airconditioning, te openen ramen, kabelgoten, toilet, pantry, verwarming en kamerindeling",Niet beschikbaar,In woonwijk en stationslocatie,"Bushalte op minder dan 500 m, NS Intercitystation op minder dan 500 m en snelwegafrit op 3000 m tot 4000 m",,1897,59 m²,8 niet-overdekte parkeerplaatsen,,,,,,,,,,,,,,,,,
43455883,Het Zuiderkruis 1,Kantoor|Bedrijfshal,€ 159 /m²/jaar,5215 MV Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43455883-het-zuiderkruis-1/?navigateSource=resultlist,2025-06-11 11:43:38,"Locatie Dit in  het  oog springende  bedrijfsgebouw is  gelegen aan de entree  van  de kop van Bedrijventerrein  De  Brand.  De Brand is een grootschalig  bedrijventerrein  ten oosten  van  Den  Bosch.  De bereikbaarheid  met eigen vervoer is zeer goed, de op- en afritten van en naar de A2 zijn op slechts 2 minuten afstand gelegen. Per openbaar vervoer is het gebouw goed bereikbaar, op 4 minuten loopafstand is een bushalte gesitueerd.   De Brand kenmerkt zich door veel grootschalige bedrijvighe …",€ 159 per vierkante meter per jaar,€ 6.000 per maand (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,1.411 m²,5 bouwlagen,"Airconditioning, mechanische ventilatie, topkoeling, inbouwarmaturen, liften, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",A,Bedrijventerrein,"Bushalte op minder dan 500 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op minder dan 500 m",,2006,7.685 m²,34 niet-overdekte parkeerplaatsen,,,,,,,,,Bedrijfsruimte,,,,,,,,
41399193,Rossinistraat 36,Kantoor,Prijs n.o.t.k.,5344 AK Oss,https://www.fundainbusiness.nl/kantoor/oss/object-41399193-rossinistraat-36/?navigateSource=resultlist,2025-06-11 11:43:43,"Dit kantoorverzamelgebouw is  gelegen  op een  zichtlocatie met  een snelle route naar  de  toegangswegen en opritten van de snelweg. Het station  Oss-West is op  loopafstand bereikbaar en ook  het winkelcentrum  De  Ruwert  is op loopafstand gelegen.  Dit kantoorpand beschikt op elke verdieping over een pantry en toilet. Op de begane grond zijn een gezamenlijke receptie en koffiehoek te vinden, wat het pand een professionele uitstraling geeft.  Het kantoorpand is ideaal voor bedrijven/zzp'ers  …",Huurprijs nader overeen te komen,€ 45 per vierkante meter per jaar (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,770 m² (in units vanaf 15 m²),2 bouwlagen,"Airconditioning, inbouwarmaturen, liften, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",C,Bedrijventerrein,"Bushalte op minder dan 500 m, NS Intercitystation op minder dan 500 m en snelwegafrit op 1000 m tot 1500 m",,1998,800 m²,,,,,,,,,,,,,,,,,,
89373725,Nieuwstraat 14,Kantoor,Huurprijs op aanvraag,5384 TC Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-89373725-nieuwstraat-14/?navigateSource=resultlist,2025-06-11 11:43:55,"Ondernemers opgelet!   Instapklare,  multifunctionele kantoorruimtes  te huur  in verzamelgebouw. De ruimtes  bevinden  zich op de eerste  verdieping  van  een bedrijfsgebouw en zijn recent  geheel  gemoderniseerd. De  gezamenlijke  entree  bevindt  zich op  de begane grond. Via de representatieve ontvangstruimte is de kantoorverdieping te bereiken waar aan een fraaie 'binnenplaats' de kantoren gesitueerd zijn.   Het object is gelegen aan de Nieuwstraat 14C t/m K te Heesch, op bedrijventerrein  …",Huurprijs op aanvraag,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Kantoor,Bestaande bouw,,306 m² (in units vanaf 10 m²),1 bouwlaag,"Airconditioning, inbouwarmaturen, systeemplafond, toilet, pantry en verwarming",A+,Bedrijventerrein,Snelwegafrit op 500 m tot 1000 m,,1998,,,,,,,,,,,,,,,,,,,
43974254,Het Sterrenbeeld 19,Kantoor,Huurprijs op aanvraag,5215 MK Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43974254-het-sterrenbeeld-19/?navigateSource=resultlist,2025-06-11 11:43:59,"Locatie De voor  verhuur  beschikbare kantoorkamers  zijn gesitueerd  in het representatieve kantoorverzamelgebouw  “Brandpunt”,  dat is gelegen op  bedrijventerrein  De  Brand. Bedrijventerrein de Brand is  centraal  gelegen, direct  aan  de  A2  (N2) en  de N279; de verbindingsweg naar Veghel en de A50. Sinds 2017 heeft De Brand een tweede ontsluitingsweg, waardoor de bereikbaarheid fors verbeterd is. Er is een goede busverbinding tussen het Centraal Station en De Brand, de bus stopt op 50 me …",Huurprijs op aanvraag,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,28 m² (in units vanaf 17 m²),2 bouwlagen,"Airconditioning, mechanische ventilatie, topkoeling, inbouwarmaturen, systeemplafond, toilet, pantry en verwarming",A,Bedrijventerrein,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 5000 m of meer en snelwegafrit op 1000 m tot 1500 m",,2002,,,,,,,,,,,,,,,,,,,
43967397,Het Sterrenbeeld 17,Kantoor,€ 125 /m²/jaar,5215 MK Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43967397-het-sterrenbeeld-17/?navigateSource=resultlist,2025-06-11 11:44:02,"Locatie De voor  verhuur  beschikbare kantoorvloervelden  zijn gesitueerd  in het representatieve kantoorverzamelgebouw  Brandpunt  's-Hertogenbosch, dat is gelegen  op  bedrijventerrein  De Brand. Bedrijventerrein de Brand  is  centraal gelegen,  direct  aan  de  A2 (N2)  en de N279; de verbindingsweg naar Veghel en de A50. Sinds 2017 heeft De Brand een tweede ontsluitingsweg, waardoor de bereikbaarheid fors verbeterd is. Er is een goede busverbinding tussen het Centraal Station en De Brand, d …",€ 125 per vierkante meter per jaar,€ 50 per vierkante meter per jaar (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,200 m²,1 bouwlaag,"Airconditioning, mechanische ventilatie, topkoeling, inbouwarmaturen, systeemplafond, toilet, pantry en verwarming","A 0,93",Bedrijventerrein,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 5000 m of meer en snelwegafrit op 1000 m tot 1500 m",,2002,,5 niet-overdekte parkeerplaatsen,,,,"Vanaf € 250,- per parkeerplaats per jaar (21% BTW van toepassing)",,,,,,,,,,,,,
43965893,Bosschebaan 64,Kantoor,€ 4.220 /mnd,5384 VZ Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-43965893-bosschebaan-64/?navigateSource=resultlist,2025-06-11 11:44:06,"Op een goed  bereikbaar  bedrijventerrein bieden  wij circa  460 m² hoogwaardige kantoorruimte  aan,  verdeeld over de eerste  en  tweede  verdieping van een representatief bedrijfspand.  De  kantoorruimtes zijn  ideaal  voor  bedrijven  die op  zoek zijn naar een flexibele en comfortabele werkomgeving, met meerdere afzonderlijke kantoren die kunnen worden gebruikt als vergaderruimtes, werkplekken of directiekantoren.   Oppervlaktes:   + Eerste verdieping: ca. 230 m2 + Tweede verdieping: ca. 23 …",€ 4.220 per maand,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,460 m²,2 bouwlagen,"Te openen ramen, systeemplafond, toilet, pantry en verwarming",A+,Bedrijventerrein,"Bushalte op minder dan 500 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op 500 m tot 1000 m",,1989,2.437 m²,,,,,,,,,,,,,,,,,,
43958575,"Leiweg 2-L, Geffen",,,,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43958575-leiweg-2-l/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43847054,Walstraat 15,Winkel met showroom,€ 199.500 k.k.,5341 CJ Oss,https://www.fundainbusiness.nl/winkel/oss/object-43847054-walstraat-15/?navigateSource=resultlist,2025-06-11 11:44:10,"Bent u op  zoek  naar een  goed gelegen  winkelruimte in het hart  van  Oss? Dan is Walstraat  15  de  perfecte locatie voor uw onderneming!  Gelegen  op een  A1-locatie  in  het  stadscentrum, biedt  dit pand uitstekende zichtbaarheid. Met een totale oppervlakte van 87 m², inclusief opslagruimte, is dit een ideale plek voor detailhandel of dienstverlening.  Oppervlakte:   + Winkelruimte: ca. 70 m2 + Opslagruimte: ca. 17 m2  Kenmerken winkelpand:   + Locatie: Het winkelpand geniet een gunstige  …",,,Log in om te bekijken,Beschikbaar,In overleg,Winkel met showroom,Bestaande bouw,,87 m²,1 bouwlaag,,Niet beschikbaar,Winkelcentrum,"Bushalte op minder dan 500 m, NS Intercitystation op 500 m tot 1000 m en snelwegafrit op 4000 m tot 5000 m",€ 199.500 kosten koper,1983,,,,,,,70 m²,,Nee,A1,,,,,,,,,
